Car3,2,21,20,39,39,39,27,2016/05/18 07:00:04
Car3,2,21,23,38,38,33,31,2016/05/18 07:30:01
Car3,2,21,23,38,38,33,31,2016/05/18 08:00:02
Car3,2,20,17,37,37,32,29,2016/05/18 08:30:01
Car3,2,20,17,37,37,32,29,2016/05/18 09:00:01
Car3,2,20,18,35,35,27,37,2016/05/18 09:30:02
Car3,2,20,18,35,35,27,37,2016/05/18 10:00:01
Car3,2,19,13,34,32,17,40,2016/05/18 10:30:02
Car3,2,19,13,34,32,17,40,2016/05/18 11:00:01
Car3,2,19,19,42,29,18,51,2016/05/18 11:30:01
Car3,2,19,19,42,29,18,51,2016/05/18 12:00:02
Car3,2,19,18,48,28,25,58,2016/05/18 12:30:01
Car3,2,19,18,48,28,25,58,2016/05/18 13:00:02
Car3,2,18,14,54,29,42,65,2016/05/18 13:30:01
Car3,2,18,14,54,29,42,65,2016/05/18 14:00:02
Car3,2,18,,30,30,,,2016/05/18 14:30:01
Car3,2,18,,30,30,,,2016/05/18 15:00:01
Car3,2,16,12,52,34,42,63,2016/05/18 15:30:02
Car3,2,16,12,52,34,42,63,2016/05/18 16:00:01
Car3,2,16,16,55,37,41,66,2016/05/18 16:30:02
Car3,2,16,16,55,37,41,66,2016/05/18 17:00:01
Car3,2,15,10,52,36,36,62,2016/05/18 17:30:02
Car3,2,15,10,52,36,36,62,2016/05/18 18:00:01
Car3,2,14,13,53,35,33,64,2016/05/18 18:30:01
Car3,2,14,13,53,35,33,64,2016/05/18 19:00:02
Car3,2,14,12,53,34,35,64,2016/05/18 19:30:01
Car3,2,14,12,53,34,35,64,2016/05/18 20:00:02
Car3,2,14,18,50,34,40,59,2016/05/18 20:30:01
Car3,2,14,13,44,36,46,53,2016/05/18 21:30:09
Car3,2,14,13,44,36,46,53,2016/05/18 22:00:01
Car3,2,14,13,38,38,37,44,2016/05/18 22:30:02
Car3,2,14,13,38,38,37,44,2016/05/18 23:00:01
Car3,2,14,15,38,38,34,39,2016/05/18 23:30:11
