縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
南投縣,南投,33,,良好,1.9,0.22,2.9,33,9,10,2,11.54,1.49,2017-04-21 05:00
南投縣,埔里,38,,良好,1.8,0.23,4.3,35,15,7.8,2,9.01,1.26,2017-04-21 05:00
南投縣,竹山,35,,良好,0.6,0.22,5.6,41,12,8.2,2,10.84,2.6,2017-04-21 06:00
南投縣,南投,33,,良好,1.9,0.25,1.8,35,13,15,2,20.82,5.55,2017-04-21 06:00
南投縣,埔里,39,,良好,1.8,0.25,3.8,40,17,8.3,2,9.97,1.65,2017-04-21 06:00
南投縣,竹山,35,,良好,1.2,0.3,5.8,42,10,9.7,2,15.53,5.8,2017-04-21 07:00
南投縣,南投,33,,良好,2.1,0.36,3.2,34,13,11,2,24.5,13.78,2017-04-21 07:00
南投縣,埔里,38,,良好,2.3,0.33,5.2,38,20,9.4,2,13.84,4.48,2017-04-21 07:00
南投縣,竹山,37,,良好,1.3,0.29,13,40,16,8.9,2,14.73,5.82,2017-04-21 08:00
南投縣,南投,34,,良好,2.4,0.4,12,34,14,10,2,18.54,8.52,2017-04-21 08:00
南投縣,埔里,38,,良好,3.7,0.43,7.1,39,23,9.9,2,18.86,8.98,2017-04-21 08:00
南投縣,竹山,36,,良好,0.8,0.17,27,30,16,9.3,2,14.67,5.41,2017-04-21 09:00
南投縣,南投,33,,良好,2,0.25,27,29,16,5.5,2,8.4,2.91,2017-04-21 09:00
南投縣,埔里,40,,良好,2.3,0.29,16,46,22,8.3,2,12.4,4.13,2017-04-21 09:00
南投縣,竹山,34,,良好,1.1,0.16,36,23,12,8.8,2,13.31,4.47,2017-04-21 10:00
南投縣,南投,31,,良好,1.9,0.22,34,22,14,3.6,2,5.41,1.79,2017-04-21 10:00
南投縣,埔里,40,,良好,2.3,0.29,16,46,22,8.3,2,12.4,4.13,2017-04-21 09:00
南投縣,竹山,39,,良好,1.5,0.19,47,25,14,4.8,2,5.73,.94,2017-04-21 11:00
南投縣,南投,32,,良好,1.8,0.23,38,24,14,5.1,2,6.93,1.85,2017-04-21 11:00
南投縣,埔里,38,,良好,1.5,0.19,35,30,16,,2,,,2017-04-21 11:00
南投縣,竹山,40,,良好,2.2,0.18,48,30,16,6.6,2,7.67,1.1,2017-04-21 12:00
南投縣,南投,34,,良好,1.6,0.23,41,35,12,5,2,7.11,2.08,2017-04-21 12:00
南投縣,埔里,38,,良好,1.5,0.19,35,30,16,,2,,,2017-04-21 11:00
南投縣,竹山,42,,良好,1.8,0.16,50,34,20,4.9,2,6.18,1.25,2017-04-21 13:00
南投縣,南投,35,,良好,1.4,0.21,42,36,12,4.5,2,6.29,1.8,2017-04-21 13:00
南投縣,埔里,33,,良好,,,,20,12,,2,,,2017-04-21 13:00
南投縣,竹山,40,,良好,1.7,0.14,47,30,22,4.5,2,5.39,.9,2017-04-21 14:00
南投縣,南投,31,,良好,1.3,0.18,37,30,15,3.9,2,5.73,1.83,2017-04-21 14:00
南投縣,埔里,43,,良好,,,52,24,16,,2,,,2017-04-21 14:00
南投縣,竹山,32,,良好,1.7,0.14,39,27,19,5.7,2,7.19,1.5,2017-04-21 15:00
南投縣,南投,32,,良好,1.2,0.22,36,28,18,5.6,2,7.11,1.56,2017-04-21 15:00
南投縣,埔里,46,,良好,2.5,0.21,55,25,16,,2,,,2017-04-21 15:00
南投縣,竹山,31,,良好,1.6,0.16,26,31,16,7.9,2,10.08,2.21,2017-04-21 16:00
南投縣,南投,31,,良好,5.5,0.24,21,29,17,9.3,2,11.93,2.59,2017-04-21 16:00
南投縣,埔里,40,,良好,2.4,0.23,48,24,18,5.6,2,6.17,.52,2017-04-21 16:00
南投縣,竹山,33,,良好,2.4,0.2,20,41,18,9.7,2,11.67,1.93,2017-04-21 17:00
南投縣,南投,29,,良好,3.1,0.26,17,27,16,9.9,2,12.28,2.37,2017-04-21 17:00
南投縣,埔里,35,,良好,2.5,0.33,42,22,14,8.5,2,9.33,.81,2017-04-21 17:00
南投縣,竹山,34,,良好,2.4,0.23,15,41,23,13,2,14.27,1.35,2017-04-21 18:00
南投縣,南投,29,,良好,3.6,0.35,13,28,19,14,2,17.29,2.96,2017-04-21 18:00
南投縣,埔里,26,,良好,2.7,0.41,29,20,4,15,2,15.78,.71,2017-04-21 18:00
南投縣,竹山,35,,良好,1.8,0.25,11,36,19,14,2,15.03,1.35,2017-04-21 19:00
南投縣,南投,30,,良好,3.5,0.46,4.1,37,16,21,2,28.01,7.04,2017-04-21 19:00
南投縣,埔里,25,,良好,2,0.51,20,24,11,19,2,19.87,.95,2017-04-21 19:00
南投縣,竹山,34,,良好,1.5,0.15,13,30,15,8,2,9.01,1.03,2017-04-21 20:00
南投縣,南投,32,,良好,2.6,0.28,11,39,15,10,2,13.63,3.39,2017-04-21 20:00
