縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
嘉義縣,朴子,50,,良好,2.3,0.21,43,50,18,7.2,2,8.9,1.67,2016-05-27 13:00
嘉義縣,新港,40,,良好,3.2,0.34,,50,18,8.8,2,10.49,1.66,2016-05-27 13:00
嘉義縣,朴子,49,,良好,2.2,0.18,40,48,12,6.4,2,7.97,1.6,2016-05-27 14:00
嘉義縣,新港,43,,良好,2.9,0.27,,56,22,9.9,2,12.25,2.35,2016-05-27 14:00
嘉義縣,朴子,46,,良好,1.6,0.16,32,31,4,5,2,6.62,1.64,2016-05-27 15:00
嘉義縣,新港,44,,良好,,1.86,,,,4.1,2,5.74,1.68,2016-05-27 15:00
嘉義縣,朴子,42,,良好,1.4,0.17,27,32,0,6.5,2,10.19,3.7,2016-05-27 16:00
嘉義縣,新港,46,,良好,1.8,0.11,31,49,27,,2,,,2016-05-27 16:00
嘉義縣,朴子,37,,良好,1.5,0.23,26,19,5,7,1,9.99,3.02,2016-05-27 17:00
嘉義縣,新港,45,,良好,,0.12,30,42,19,2.7,2,4.55,1.87,2016-05-27 17:00
嘉義縣,朴子,37,,良好,1.5,0.23,26,19,5,7,1,9.99,3.02,2016-05-27 17:00
嘉義縣,新港,45,,良好,,0.12,30,42,19,2.7,2,4.55,1.87,2016-05-27 17:00
嘉義縣,朴子,33,,良好,1.7,0.28,26,21,5,7.6,1,9.7,2.13,2016-05-27 18:00
嘉義縣,新港,42,,良好,1.3,0.15,30,36,12,3.5,2,5.35,1.9,2016-05-27 18:00
嘉義縣,朴子,30,,良好,1.8,0.3,22,18,5,10,1,12.99,2.89,2016-05-27 19:00
嘉義縣,新港,42,,良好,1.2,0.18,24,39,10,6,2,7.69,1.7,2016-05-27 19:00
嘉義縣,朴子,30,,良好,1.7,0.28,21,30,3,9,1,10.83,1.83,2016-05-27 20:00
嘉義縣,新港,39,,良好,1.6,0.21,18,33,10,8.1,2,9.77,1.63,2016-05-27 20:00
嘉義縣,朴子,31,,良好,2.1,0.27,18,33,10,8.8,1,10.36,1.6,2016-05-27 21:00
嘉義縣,新港,39,,良好,2.1,0.27,12,40,10,12,2,14.31,1.94,2016-05-27 21:00
嘉義縣,朴子,33,,良好,2.5,0.29,15,38,11,10,1,11.92,1.48,2016-05-27 22:00
嘉義縣,新港,39,,良好,2.1,0.27,11,36,11,12,2,13.88,1.99,2016-05-27 22:00
嘉義縣,朴子,34,,良好,2.4,0.27,13,34,10,10,1,11.36,1.02,2016-05-27 23:00
嘉義縣,新港,40,,良好,2.5,0.26,6.9,40,6,14,2,16.19,2.03,2016-05-27 23:00
嘉義縣,朴子,34,,良好,2.5,0.27,7.4,34,5,15,1,16.72,1.9,2016-05-28 00:00
嘉義縣,新港,39,,良好,3.2,0.29,4.2,32,13,16,2,18.33,2.38,2016-05-28 00:00
嘉義縣,朴子,34,,良好,5.8,0.38,1,41,9,22,1,24.95,3.32,2016-05-28 01:00
嘉義縣,新港,38,,良好,2.8,0.28,6.5,38,12,12,2,13.83,1.76,2016-05-28 01:00
嘉義縣,朴子,35,,良好,8.1,0.37,1.7,46,15,21,1,22.86,2.15,2016-05-28 02:00
嘉義縣,新港,38,,良好,3.3,0.28,7.9,37,17,11,2,11.96,1.42,2016-05-28 02:00
嘉義縣,朴子,40,,良好,7.2,0.33,3,60,22,20,1,21.06,1.05,2016-05-28 03:00
嘉義縣,新港,37,,良好,3.3,0.27,8.5,37,9,9.7,2,11.21,1.51,2016-05-28 03:00
嘉義縣,朴子,44,,良好,4.1,0.27,7.8,60,22,11,2,10.64,-.07,2016-05-28 04:00
嘉義縣,新港,37,,良好,3,0.24,9.3,36,13,8.1,2,9.24,1.17,2016-05-28 04:00
嘉義縣,朴子,47,,良好,3.4,0.21,10,51,13,9.4,2,9.32,-.06,2016-05-28 05:00
嘉義縣,新港,37,,良好,2.4,0.21,11,39,11,6.4,2,7.27,.92,2016-05-28 05:00
嘉義縣,朴子,47,,良好,3.8,0.25,8,44,7,11,2,11.87,.53,2016-05-28 06:00
嘉義縣,新港,37,,良好,2.8,0.24,9.7,35,13,7.3,1,8.99,1.68,2016-05-28 06:00
嘉義縣,朴子,44,,良好,3.9,0.4,11,27,7,10,2,16.69,6.52,2016-05-28 07:00
嘉義縣,新港,36,,良好,3.1,0.27,12,31,5,6.4,1,9.52,3.09,2016-05-28 07:00
嘉義縣,朴子,40,,良好,3.7,0.49,17,31,9,9.8,1,13.6,3.85,2016-05-28 08:00
嘉義縣,新港,35,,良好,4,0.3,17,33,2,6.3,1,9.94,3.65,2016-05-28 08:00
嘉義縣,朴子,36,,良好,3.8,0.4,24,20,12,9.1,1,12.36,3.31,2016-05-28 09:00
嘉義縣,新港,35,,良好,4,0.29,24,40,5,5.8,1,9.22,3.39,2016-05-28 09:00
嘉義縣,朴子,33,,良好,3.3,0.31,35,27,14,8.5,1,10.54,2.09,2016-05-28 10:00
嘉義縣,新港,37,,良好,2.5,0.16,31,46,10,3.7,1,5.47,1.73,2016-05-28 10:00
